Gene_ID,Structural_family,Confidence,Product,GC_content,Gene_length_bp,Start_pos,End_pos,Strand,Notes
2251,structural_cluster_12,0.682,hypothetical protein,0.6815,1482,2080899,2082380,+,"tier=B, cluster_size=24"
2328,structural_cluster_12,0.692,hypothetical protein,0.6917,918,2205779,2206696,-,"tier=C, cluster_size=24"
2403,structural_cluster_12,0.623,hypothetical protein,0.6227,1092,2326612,2327703,-,"tier=C, cluster_size=24"
2484,structural_cluster_12,0.686,hypothetical protein,0.6856,264,2456478,2456741,-,"tier=C, cluster_size=24"
1107,structural_cluster_3,0.639,hypothetical protein,0.6386,1392,74035,75426,+,"tier=C, cluster_size=2"
1113,structural_cluster_5,0.651,hypothetical protein,0.6507,942,85168,86109,+,"tier=C, cluster_size=9"
1454,structural_cluster_5,0.510,hypothetical protein,0.5104,288,708218,708505,+,"tier=A, cluster_size=9"
1642,structural_cluster_5,0.588,hypothetical protein,0.5878,621,1026727,1027347,-,"tier=C, cluster_size=9"
1647,structural_cluster_5,0.618,hypothetical protein,0.6185,540,1034087,1034626,+,"tier=C, cluster_size=9"
1876,structural_cluster_5,0.545,hypothetical protein,0.5450,411,1419235,1419645,-,"tier=A, cluster_size=9"
2264,structural_cluster_5,0.595,hypothetical protein,0.5952,294,2101492,2101785,+,"tier=C, cluster_size=9"
2322,structural_cluster_5,0.577,hypothetical protein,0.5769,234,2196339,2196572,+,"tier=C, cluster_size=9"
2400,structural_cluster_5,0.604,hypothetical protein,0.6042,240,2323872,2324111,+,"tier=C, cluster_size=9"
1238,structural_cluster_6,0.576,hypothetical protein,0.5761,276,292761,293036,+,"tier=C, cluster_size=4"
2074,structural_cluster_6,0.561,hypothetical protein,0.5614,285,1777968,1778252,+,"tier=A, cluster_size=4"
2258,structural_cluster_6,0.540,hypothetical protein,0.5402,709,2092298,2093006,-,"tier=A, cluster_size=4"
2457,structural_cluster_6,0.644,hypothetical protein,0.6440,663,2421860,2422522,+,"tier=C, cluster_size=4"
1133,structural_cluster_8,0.662,hypothetical protein,0.6616,1188,116789,117976,-,"tier=C, cluster_size=38"
1157,structural_cluster_8,0.690,hypothetical protein,0.6901,726,157805,158530,-,"tier=B, cluster_size=38"
1308,structural_cluster_8,0.645,hypothetical protein,0.6448,2787,423898,426684,-,"tier=C, cluster_size=38"
1459,structural_cluster_8,0.652,hypothetical protein,0.6515,264,714788,715051,+,"tier=C, cluster_size=38"
1460,structural_cluster_8,0.740,Nucleoporin FG2 superfamily incomplete domain,0.7404,2088,715840,717927,-,"tier=B, cluster_size=38"
1501,structural_cluster_8,0.692,hypothetical protein,0.6925,696,792579,793274,-,"tier=C, cluster_size=38"
1585,structural_cluster_8,0.654,hypothetical protein,0.6541,1668,938544,940211,+,"tier=C, cluster_size=38"
1615,structural_cluster_8,0.622,hypothetical protein,0.6223,1149,988696,989844,-,"tier=C, cluster_size=38"
1632,structural_cluster_8,0.650,ankyrin repeat domain,0.6501,1266,1013066,1014331,-,"tier=B, cluster_size=38"
1661,structural_cluster_8,0.627,hypothetical protein,0.6267,1176,1057119,1058294,+,"tier=C, cluster_size=38"
1770,structural_cluster_8,0.679,serine-threonine kinase,0.6786,5439,1244600,1250038,+,"tier=B, cluster_size=38"
1779,structural_cluster_8,0.650,Dihydrofolate reductase incomplete domain,0.6504,3567,1259681,1263247,-,"tier=B, cluster_size=38"
1781,structural_cluster_8,0.669,hypothetical protein,0.6689,912,1269247,1270158,-,"tier=C, cluster_size=38"
1810,structural_cluster_8,0.636,hypothetical protein,0.6355,609,1321715,1322323,-,"tier=C, cluster_size=38"
1885,structural_cluster_8,0.560,Ubiquitin,0.5605,2917,1431566,1434482,+,"tier=A, cluster_size=38"
1958,structural_cluster_8,0.661,hypothetical protein,0.6611,1676,1570847,1572522,+,"tier=C, cluster_size=38"
1966,structural_cluster_8,0.663,ankyrin repeat domain,0.6629,1587,1586661,1588247,-,"tier=B, cluster_size=38"
1971,structural_cluster_8,0.641,hypothetical protein,0.6412,2238,1595992,1598229,-,"tier=C, cluster_size=38"
1997,structural_cluster_8,0.635,hypothetical protein,0.6352,603,1648271,1648873,+,"tier=C, cluster_size=38"
2028,structural_cluster_8,0.630,ankyrin repeat domain,0.6295,2232,1702376,1704607,+,"tier=B, cluster_size=38"
2033,structural_cluster_8,0.626,hypothetical protein,0.6260,861,1712679,1713539,-,"tier=C, cluster_size=38"
2034,structural_cluster_8,0.620,ankyrin repeat domain,0.6204,1233,1713922,1715154,-,"tier=B, cluster_size=38"
2043,structural_cluster_8,0.559,UBCc superfamily incomplete domain,0.5587,528,1730907,1731434,+,"tier=A, cluster_size=38"
2060,structural_cluster_8,0.615,hypothetical protein,0.6152,1302,1757520,1758821,-,"tier=C, cluster_size=38"
2064,structural_cluster_8,0.626,hypothetical protein,0.6261,1380,1764364,1765743,+,"tier=C, cluster_size=38"
2099,structural_cluster_8,0.555,hypothetical protein,0.5546,1291,1822122,1823412,+,"tier=A, cluster_size=38"
2135,structural_cluster_8,0.584,hypothetical protein,0.5841,678,1879410,1880087,-,"tier=C, cluster_size=38"
2149,structural_cluster_8,0.659,hypothetical protein,0.6588,1911,1904717,1906627,-,"tier=C, cluster_size=38"
2156,structural_cluster_8,0.657,ankyrin repeat domain,0.6573,1824,1916831,1918654,+,"tier=B, cluster_size=38"
2170,structural_cluster_8,0.692,Fascin-like incomplete domain,0.6920,1422,1940682,1942103,+,"tier=B, cluster_size=38"
2198,structural_cluster_8,0.700,hypothetical protein,0.6999,723,1994604,1995326,+,"tier=C, cluster_size=38"
2220,structural_cluster_8,0.650,hypothetical protein,0.6499,1948,2031028,2032975,-,"tier=C, cluster_size=38"
2223,structural_cluster_8,0.552,S-phase kinase-associated protein 1,0.5517,687,2035314,2036000,+,"tier=A, cluster_size=38"
2238,structural_cluster_8,0.662,hypothetical protein,0.6617,999,2054071,2055069,-,"tier=C, cluster_size=38"
2249,structural_cluster_8,0.650,hypothetical protein,0.6505,1173,2077105,2078277,-,"tier=C, cluster_size=38"
2295,structural_cluster_8,0.689,hypothetical protein,0.6889,495,2151287,2151781,+,"tier=C, cluster_size=38"
2296,structural_cluster_8,0.679,hypothetical protein,0.6786,585,2152084,2152668,+,"tier=C, cluster_size=38"
1105,structural_cluster_9,0.716,hypothetical protein,0.7165,642,70710,71351,-,"tier=C, cluster_size=22"
1110,structural_cluster_9,0.686,hypothetical protein,0.6859,3438,78087,81524,-,"tier=C, cluster_size=22"
1185,structural_cluster_9,0.721,hypothetical protein,0.7207,999,205227,206225,+,"tier=C, cluster_size=22"
1222,structural_cluster_9,0.670,hypothetical protein,0.6703,831,266577,267407,-,"tier=C, cluster_size=22"
1258,structural_cluster_9,0.653,hypothetical protein,0.6532,2886,328292,331177,-,"tier=C, cluster_size=22"
1374,structural_cluster_9,0.665,hypothetical protein,0.6646,1419,559644,561062,+,"tier=B, cluster_size=22"
1391,structural_cluster_9,0.653,hypothetical protein,0.6527,1365,588641,590005,-,"tier=C, cluster_size=22"
1398,structural_cluster_9,0.652,hypothetical protein,0.6521,1995,599278,601272,-,"tier=C, cluster_size=22"
1402,structural_cluster_9,0.662,hypothetical protein,0.6625,951,605950,606900,-,"tier=C, cluster_size=22"
1432,structural_cluster_9,0.696,hypothetical protein,0.6965,1140,667381,668520,-,"tier=C, cluster_size=22"
1575,structural_cluster_9,0.716,hypothetical protein,0.7158,2730,916460,919189,-,"tier=C, cluster_size=22"
1678,structural_cluster_9,0.615,hypothetical protein,0.6147,1308,1081728,1083035,+,"tier=C, cluster_size=22"
1740,structural_cluster_9,0.675,hypothetical protein,0.6746,1755,1187084,1188838,-,"tier=C, cluster_size=22"
2093,structural_cluster_9,0.592,hypothetical protein,0.5917,1129,1811155,1812283,+,"tier=C, cluster_size=22"
2103,structural_cluster_9,0.653,hypothetical protein,0.6531,1401,1828440,1829840,-,"tier=C, cluster_size=22"
2163,structural_cluster_9,0.642,hypothetical protein,0.6419,849,1928973,1929821,-,"tier=C, cluster_size=22"
2168,structural_cluster_9,0.634,hypothetical protein,0.6338,2127,1936573,1938699,+,"tier=C, cluster_size=22"
2206,structural_cluster_9,0.640,hypothetical protein,0.6400,1089,2007111,2008199,+,"tier=C, cluster_size=22"
2282,structural_cluster_9,0.659,hypothetical protein,0.6593,1356,2131572,2132927,+,"tier=C, cluster_size=22"
2291,structural_cluster_9,0.636,hypothetical protein,0.6364,1837,2145858,2147694,-,"tier=C, cluster_size=22"
2435,structural_cluster_9,0.682,hypothetical protein,0.6822,2130,2380974,2383103,-,"tier=C, cluster_size=22"
2444,structural_cluster_9,0.696,hypothetical protein,0.6958,1542,2397464,2399005,+,"tier=C, cluster_size=22"
1215,structural_singleton,0.608,hypothetical protein,0.6080,1449,254476,255924,+,"tier=B, cluster_size=1"
2185,structural_singleton,0.653,hypothetical protein,0.6527,429,1970243,1970671,-,"tier=C, cluster_size=1"
2257,structural_singleton,0.522,hypothetical protein,0.5217,646,2091681,2092326,+,"tier=A, cluster_size=1"
